nivel_escolar,duracion_estimada_min,numero_paginas,numero_items,porcentaje_visual,densidad_simbolos,prop_operaciones_aritmeticas,prop_fracciones_decimales,prop_variables_algebraicas,prop_ecuaciones,prop_patrones_funciones,prop_figuras_geometricas,prop_medicion_angulos,prop_coordenadas,prop_tablas_graficos,prop_estadistica_descriptiva,prop_probabilidad,prop_contexto_problemas,dificultad_estimada,ejemplos_resueltos,elementos_visuales,indice_interactividad,categoria_curricular
8,56,17,33,67.17,0.1355,0.2947,0.2874,0.0313,0.3694,0.3873,0.7653,0.7278,0.8449,0.1643,0.2158,0.2065,0.3376,3,2,8,0.0034,2
7,16,1,13,17.83,0.5449,0.4196,0.3656,0.6368,0.5319,0.3055,0.2778,0.1017,0.2248,0.1027,0.585,0.2322,0.4741,1,3,0,0.2214,1
9,30,13,13,58.03,0.3742,0.4074,0.3241,0.1874,0.159,0.1829,0.6848,0.7176,0.5527,0.2563,0.0617,0.1013,0.3705,2,4,11,0.3564,2
9,38,17,15,65.32,0.2968,0.1545,0.3063,0.4003,0.3667,0.4497,0.452,0.5398,0.4216,0.586,0.107,0.0848,0.3833,3,3,8,0.0,2
7,33,10,18,68.02,0.3373,0.3743,0.2717,0.0863,0.4272,0.0701,0.2685,0.1333,0.1452,0.81,0.4039,0.3941,0.4572,2,2,8,0.6962,3
9,26,5,15,48.63,0.3513,0.1448,0.1934,0.1151,0.4387,0.2978,0.3727,0.3461,0.1557,0.6713,0.581,0.6075,0.4224,2,2,5,0.3104,3
7,46,11,15,26.43,0.4092,0.1256,0.4307,0.0161,0.4722,0.4673,0.0357,0.1676,0.5003,0.6864,0.5703,0.8238,0.5585,2,3,0,0.251,3
12,33,17,22,58.89,0.3716,0.1668,0.1126,0.5429,0.3503,0.0905,0.6028,0.4791,0.6652,0.1662,0.0926,0.4386,0.5404,3,5,8,0.4205,2
8,31,14,17,43.41,0.4599,0.746,0.4884,0.45,0.3415,0.5365,0.2341,0.3245,0.1425,0.4432,0.0951,0.1367,0.723,3,6,6,0.3375,0
12,34,20,21,49.66,0.4195,0.4329,0.5641,0.3601,0.5803,0.3548,0.2291,0.2248,0.4216,0.6117,0.2161,0.1266,0.5914,3,3,7,0.4246,1
7,33,10,20,44.71,0.5281,0.3158,0.3714,0.5658,0.5681,0.1589,0.3245,0.3465,0.1746,0.1304,0.218,0.1247,0.5239,2,4,5,0.006,1
7,16,8,19,66.77,0.55,0.4959,0.4646,0.6609,0.5749,0.6529,0.5846,0.3802,0.6753,0.3379,0.3102,0.0162,0.6648,2,3,10,0.4447,2
9,55,13,25,57.1,0.2429,0.5037,0.6478,0.4597,0.1259,0.0936,0.1642,0.4018,0.327,0.6277,0.6736,0.3494,0.6362,3,4,6,0.5473,3
5,22,9,21,54.26,0.3621,0.578,0.5985,0.4558,0.2897,0.4087,0.1214,0.5697,0.2746,0.6302,0.2327,0.5484,0.6025,2,4,8,0.518,0
12,50,23,30,77.63,0.3903,0.2843,0.1121,0.5697,0.2362,0.402,0.4817,0.2206,0.3832,0.672,0.511,0.1668,0.5342,4,5,7,0.4322,1
6,44,12,22,36.95,0.6302,0.5822,0.5068,0.4345,0.8043,0.9194,0.2054,0.2756,0.4007,0.3182,0.1832,0.0066,0.5068,2,3,5,0.6086,1
6,35,9,18,63.25,0.4199,0.6741,0.4511,0.1533,0.5683,0.3896,0.2442,0.2454,0.4717,0.3517,0.2462,0.264,0.3426,2,3,4,0.5213,0
12,42,11,16,41.24,0.5003,0.3027,0.7021,0.3079,0.4624,0.232,0.3144,0.1093,0.5957,0.3337,0.227,0.174,0.3398,3,2,5,0.2315,1
10,51,14,25,25.69,0.438,0.2397,0.3908,0.3575,0.391,0.4472,0.2926,0.2623,0.4535,0.4338,0.4045,0.2526,0.4294,3,2,10,0.4767,1
6,31,11,11,34.77,0.4789,0.5484,0.3423,0.4015,0.9238,0.5196,0.1543,0.1448,0.5609,0.0949,0.4112,0.0362,0.4006,2,2,7,0.3788,1
8,38,6,19,62.74,0.6474,0.6822,0.4499,0.1488,0.0795,0.0805,0.5804,0.2821,0.5421,0.8031,0.6647,0.6475,0.6509,1,3,9,0.3566,3
11,35,15,25,50.91,0.4872,0.8428,0.6785,0.1713,0.2849,0.2123,0.3389,0.2728,0.2753,0.1658,0.1479,0.3704,0.4387,3,3,9,0.3602,0
6,20,11,15,48.91,0.4666,0.7107,0.4077,0.2852,0.4198,0.5272,0.1714,0.5008,0.4189,0.4087,0.0915,0.1217,0.3986,2,5,4,0.6543,1
9,38,14,16,32.16,0.4447,0.5241,0.6347,0.4393,0.2586,0.412,0.346,0.283,0.2393,0.1449,0.0862,0.3248,0.4293,2,4,1,0.1666,0
6,30,5,17,38.44,0.5141,0.628,0.4831,0.2868,0.3719,0.1356,0.192,0.4447,0.2508,0.2607,0.2283,0.2505,0.441,2,2,3,0.5074,0
8,47,17,27,72.09,0.3746,0.5746,0.2576,0.3894,0.2426,0.3421,0.641,0.6739,0.4372,0.1223,0.0887,0.4901,0.4054,3,3,11,0.2826,2
7,41,8,30,59.54,0.3607,0.3297,0.3122,0.1305,0.3228,0.2185,0.5525,0.1159,0.3119,0.9278,0.566,0.4985,0.7195,2,3,5,0.431,3
8,29,9,9,41.74,0.2803,0.4127,0.3714,0.0882,0.1284,0.2613,0.0315,0.1494,0.1514,0.7327,0.6401,0.557,0.2812,1,3,8,0.5369,3
8,37,16,15,17.24,0.32,0.8063,0.8609,0.3192,0.1512,0.1872,0.2064,0.3091,0.2743,0.0924,0.2575,0.2474,0.5799,2,4,0,0.5017,0
6,34,12,11,36.24,0.5362,0.0782,0.3872,0.748,0.4455,0.4238,0.105,0.2577,0.2979,0.1953,0.0648,0.2776,0.3193,2,3,6,0.1522,1
10,41,24,15,53.95,0.6126,0.68,0.1449,0.4626,0.7048,0.6281,0.3489,0.4482,0.1192,0.2495,0.2711,0.4166,0.4167,3,3,9,0.2975,1
7,42,11,19,48.63,0.4596,0.463,0.388,0.3538,0.2827,0.6158,0.2076,0.5228,0.2502,0.1971,0.3363,0.0982,0.4986,2,4,5,0.3564,1
7,31,15,12,69.26,0.3419,0.2785,0.6743,0.2012,0.2431,0.6015,0.2168,0.2426,0.1104,0.775,0.6193,0.4448,0.3134,2,2,8,0.3399,3
12,33,15,22,57.18,0.4298,0.6756,0.2021,0.2033,0.0914,0.2855,0.3562,0.7349,0.5489,0.2375,0.3296,0.1473,0.5027,3,3,7,0.4114,2
5,28,7,20,37.24,0.3256,0.3235,0.0821,0.1249,0.283,0.3206,0.1916,0.4349,0.4538,0.6395,0.6525,0.696,0.5292,2,4,4,0.7312,3
12,51,14,26,49.57,0.6768,0.6469,0.1311,0.9347,0.6056,0.4815,0.526,0.2691,0.0767,0.1362,0.1835,0.0937,0.424,3,4,6,0.4379,1
6,33,13,20,47.62,0.3441,0.0676,0.427,0.4885,0.3386,0.6612,0.384,0.1446,0.6913,0.2064,0.2856,0.1765,0.209,2,0,8,0.4638,1
7,41,18,26,66.02,0.4578,0.5511,0.2619,0.5469,0.3004,0.3596,0.1315,0.2939,0.1514,0.6118,0.5042,0.5521,0.6445,3,7,9,0.4966,3
9,62,21,28,62.26,0.5935,0.1284,0.2263,0.7454,0.3761,0.448,0.2639,0.4031,0.2765,0.5323,0.2748,0.4491,0.4233,4,4,9,0.6147,1
5,32,13,20,62.61,0.3431,0.1895,0.1303,0.3235,0.2861,0.4873,0.3479,0.7595,0.1387,0.3594,0.2401,0.205,0.4674,2,3,9,0.0944,1
9,57,17,23,54.64,0.3304,0.1707,0.0698,0.3862,0.3777,0.5288,0.2206,0.3445,0.5085,0.5998,0.4534,0.3619,0.5352,3,2,7,0.4603,1
11,49,14,22,58.52,0.4965,0.3303,0.2313,0.5911,0.8826,0.1784,0.2758,0.5999,0.4031,0.0552,0.5227,0.1105,0.5082,3,3,9,0.627,1
10,46,14,30,33.09,0.2627,0.3785,0.1892,0.704,0.4775,0.6091,0.1376,0.158,0.2248,0.4332,0.0148,0.228,0.2443,3,3,8,0.4592,1
9,42,11,25,57.67,0.4375,0.3916,0.5135,0.2924,0.5894,0.1912,0.4116,0.4096,0.1123,0.3158,0.5551,0.3428,0.5509,3,3,9,0.4554,0
10,48,10,24,39.06,0.3156,0.6323,0.3137,0.1052,0.1624,0.3507,0.0821,0.3058,0.0598,0.5658,0.4613,0.3243,0.4367,3,3,6,0.1411,3
8,42,15,18,29.97,0.5907,0.4504,0.1,0.6581,0.5415,0.8658,0.3404,0.2325,0.7496,0.0725,0.2584,0.3834,0.376,3,4,5,0.4541,1
11,59,9,29,34.73,0.2854,0.2031,0.6829,0.0726,0.0835,0.2264,0.2557,0.2738,0.1279,0.372,0.1363,0.5697,0.3717,3,1,4,0.2955,3
12,56,23,32,33.19,0.5766,0.1923,0.2216,0.5793,0.7713,0.5593,0.1935,0.2422,0.482,0.3718,0.2242,0.0292,0.3965,4,6,6,0.2365,1
12,51,17,27,68.78,0.4472,0.4182,0.16,0.2899,0.4496,0.1372,0.5032,0.3047,0.2382,0.6654,0.72,0.6756,0.2592,3,2,9,0.4321,3
5,36,6,18,73.02,0.1238,0.1907,0.3169,0.198,0.2257,0.2149,0.6481,0.6921,0.4961,0.4432,0.3605,0.2454,0.7644,2,4,7,0.6517,2
11,58,19,28,66.46,0.2675,0.3335,0.1821,0.3129,0.239,0.0805,0.6086,0.7172,0.7621,0.5035,0.2711,0.2337,0.6113,3,3,7,0.1723,2
12,49,26,26,45.13,0.4919,0.7609,0.5214,0.0451,0.7025,0.2708,0.2906,0.1525,0.1564,0.446,0.2297,0.248,0.4046,4,3,6,0.2648,0
7,36,22,12,50.77,0.4506,0.4156,0.3341,0.12,0.4595,0.2306,0.2646,0.3082,0.1509,0.6402,0.765,0.7367,0.5205,2,1,6,0.6047,3
6,24,15,14,12.19,0.6018,0.4099,0.1967,0.462,0.8324,0.2037,0.1511,0.2625,0.5421,0.252,0.1436,0.2068,0.3191,2,2,2,0.2458,1
7,42,12,22,69.63,0.2349,0.4495,0.6525,0.2487,0.1969,0.2404,0.7928,0.0776,0.2074,0.2127,0.5105,0.0906,0.5082,3,4,7,0.2993,0
9,18,15,11,26.36,0.58,0.6389,0.5267,0.3971,0.3779,0.2094,0.072,0.4122,0.2509,0.2207,0.0765,0.2421,0.2565,2,1,4,0.4146,0
6,31,12,23,45.92,0.6192,0.6342,0.1109,0.3908,0.5518,0.4892,0.4757,0.0709,0.2043,0.3045,0.2723,0.1164,0.5671,2,1,2,0.3902,1
6,37,14,14,32.34,0.2864,0.6202,0.6127,0.3036,0.2333,0.272,0.0532,0.0668,0.2142,0.5803,0.3428,0.259,0.4995,2,2,5,0.54,0
12,48,19,23,36.37,0.5178,0.7882,0.5808,0.2866,0.4473,0.2932,0.2689,0.3517,0.5981,0.3577,0.272,0.1987,0.5892,4,4,7,0.5081,0
8,53,14,26,47.76,0.5977,0.4409,0.278,0.4224,0.2375,0.1382,0.5651,0.7364,0.4097,0.1083,0.0551,0.554,0.4566,3,4,8,0.4652,0
7,35,6,20,64.33,0.3834,0.1547,0.3383,0.2342,0.2282,0.3684,0.6039,0.7297,0.3576,0.3191,0.1965,0.3146,0.3209,2,4,10,0.44,2
10,49,24,28,48.53,0.5213,0.3128,0.3046,0.4881,0.4777,0.5629,0.354,0.3569,0.5903,0.5296,0.0617,0.1116,0.2538,4,4,9,0.4824,1
7,40,16,32,67.13,0.3589,0.4626,0.2055,0.3979,0.1464,0.1966,0.3291,0.432,0.4903,0.8403,0.4293,0.2087,0.6219,3,4,10,0.7382,3
5,34,16,18,46.68,0.2709,0.1752,0.4829,0.3001,0.4148,0.5971,0.1491,0.0885,0.2133,0.2428,0.2058,0.3923,0.4128,2,3,5,0.2993,1
10,42,17,23,52.39,0.3461,0.1472,0.1873,0.4285,0.398,0.1544,0.2948,0.2045,0.6702,0.7096,0.5794,0.7481,0.3097,3,3,9,0.5653,3
11,55,14,18,41.41,0.5053,0.3251,0.5376,0.1737,0.362,0.1889,0.1364,0.1435,0.2353,0.6248,0.3116,0.198,0.3133,3,6,5,0.1668,0
12,55,16,34,57.56,0.6725,0.7083,0.6578,0.3757,0.1103,0.2172,0.3241,0.3973,0.1157,0.4656,0.3443,0.2484,0.8242,3,6,7,0.437,0
8,44,13,21,65.67,0.5157,0.5952,0.4942,0.1259,0.4152,0.3447,0.3599,0.2235,0.3948,0.5531,0.355,0.671,0.6298,2,5,9,0.3564,3
11,41,14,21,63.14,0.4549,0.3506,0.1397,0.1574,0.6153,0.2599,0.1646,0.2191,0.2111,0.6597,0.5871,0.6473,0.4062,3,3,12,0.3282,3
8,22,13,16,61.1,0.3561,0.4532,0.71,0.2979,0.2335,0.3963,0.1856,0.2633,0.2045,0.3403,0.1322,0.277,0.492,2,5,10,0.4486,0
8,35,11,22,76.38,0.2444,0.1917,0.0601,0.1472,0.4233,0.1478,0.7791,0.5655,0.2678,0.3761,0.0588,0.2609,0.6425,2,4,9,0.3555,2
9,49,15,30,67.43,0.6833,0.7541,0.5638,0.7992,0.2992,0.6368,0.3287,0.5133,0.211,0.5845,0.2931,0.1397,0.6484,3,6,7,0.6321,1
12,28,14,19,53.17,0.3523,0.3259,0.6314,0.3121,0.2124,0.5454,0.0741,0.3448,0.2584,0.6685,0.654,0.4319,0.6293,3,5,9,0.4948,3
6,24,5,14,70.15,0.4115,0.3305,0.4949,0.1302,0.2122,0.4208,0.4032,0.4077,0.3237,0.4748,0.2432,0.286,0.6049,2,3,9,0.6252,2
10,56,24,31,71.67,0.202,0.1083,0.4042,0.165,0.384,0.4306,0.7529,0.5566,0.1888,0.0956,0.0395,0.3279,0.4313,4,5,10,0.2334,2
8,46,5,12,48.98,0.4039,0.5117,0.6955,0.0555,0.3136,0.0144,0.1433,0.0643,0.2254,0.5732,0.247,0.3978,0.3739,1,3,7,0.4594,0
7,38,13,16,64.56,0.5064,0.211,0.3473,0.5259,0.3616,0.667,0.527,0.3016,0.3004,0.4452,0.3721,0.1788,0.4275,2,3,11,0.5008,1
11,49,21,30,67.12,0.7858,0.3914,0.1458,0.7472,0.9312,0.5133,0.1016,0.5634,0.1023,0.5381,0.3323,0.3719,0.4148,4,2,12,0.469,1
9,38,15,16,81.2,0.281,0.4301,0.3877,0.2185,0.2352,0.3032,0.9178,0.6021,0.6316,0.2711,0.1779,0.2037,0.5806,3,2,10,0.434,2
12,32,13,19,48.15,0.332,0.4397,0.1332,0.231,0.2371,0.2045,0.6261,0.1161,0.2,0.5187,0.4582,0.2596,0.2316,3,3,7,0.3982,2
9,45,19,29,82.5,0.2859,0.2943,0.2124,0.1964,0.2337,0.1678,0.6754,0.4212,0.4631,0.7714,0.5313,0.6015,0.445,3,3,9,0.5299,3
10,43,16,29,60.14,0.3406,0.2229,0.0746,0.4239,0.163,0.188,0.1332,0.1605,0.3169,0.7758,0.3593,0.5476,0.3981,3,3,10,0.6585,3
9,31,15,15,43.82,0.378,0.2651,0.4949,0.5055,0.7214,0.6577,0.2025,0.2172,0.2196,0.1102,0.255,0.0825,0.4255,3,4,6,0.6423,1
6,44,1,26,66.55,0.792,0.3977,0.1133,0.6241,0.7496,0.7542,0.4524,0.336,0.4478,0.2357,0.1783,0.0129,0.7194,2,4,10,0.5411,1
7,32,11,10,40.75,0.4123,0.5198,0.6742,0.5321,0.3963,0.4817,0.3665,0.3702,0.1409,0.2452,0.2453,0.1046,0.5724,2,3,8,0.4529,0
9,42,18,23,52.22,0.5375,0.1255,0.5703,0.7236,0.5278,0.3688,0.37,0.2993,0.1764,0.3762,0.0957,0.1662,0.326,3,4,8,0.2563,1
7,27,8,17,51.04,0.5515,0.4118,0.2068,0.7788,0.635,0.2948,0.4475,0.0897,0.2319,0.6641,0.4533,0.3493,0.4458,2,5,6,0.3127,1
9,32,10,19,68.13,0.6011,0.457,0.1808,0.6546,0.4683,0.7301,0.5237,0.1212,0.5242,0.3299,0.1092,0.1104,0.639,2,4,12,0.5015,1
6,38,9,16,28.4,0.4146,0.3514,0.6506,0.1385,0.3285,0.058,0.0191,0.2341,0.1244,0.2401,0.2127,0.2256,0.5367,2,4,6,0.6286,0
10,49,15,24,49.5,0.4743,0.5052,0.2942,0.3619,0.3036,0.1379,0.1692,0.4469,0.1919,0.5857,0.3586,0.0228,0.3623,3,3,7,0.557,0
8,12,12,9,62.29,0.2911,0.1325,0.2844,0.3926,0.2936,0.1343,0.3837,0.4594,0.3355,0.2671,0.4506,0.0444,0.4216,2,2,8,0.3677,2
6,15,13,16,72.78,0.6486,0.5808,0.4776,0.5423,0.4336,0.5376,0.2904,0.5573,0.4435,0.4132,0.2882,0.3592,0.5233,2,5,10,0.3349,1
9,42,12,19,46.4,0.4279,0.5664,0.6032,0.3033,0.2985,0.017,0.3997,0.3652,0.1742,0.2656,0.2263,0.2357,0.6315,2,6,5,0.7258,0
12,34,15,19,30.34,0.4674,0.6463,0.7338,0.3823,0.2315,0.1029,0.0817,0.1841,0.0276,0.2166,0.1109,0.2396,0.5456,3,7,3,0.6724,0
7,14,10,9,42.5,0.1905,0.7058,0.6236,0.1154,0.1522,0.5093,0.1233,0.1852,0.1404,0.0927,0.1006,0.5418,0.5899,1,4,4,0.3597,0
7,33,15,22,29.43,0.268,0.6596,0.275,0.0485,0.5001,0.2644,0.1395,0.1965,0.3698,0.2159,0.2601,0.0754,0.6778,2,1,2,0.5808,0
5,19,7,14,75.18,0.4397,0.5772,0.4417,0.0953,0.3802,0.38,0.581,0.3841,0.1917,0.5932,0.556,0.3461,0.6481,1,2,13,0.6169,0
5,23,7,12,34.87,0.5576,0.8922,0.3867,0.1904,0.2601,0.1806,0.3047,0.4792,0.3074,0.2601,0.0335,0.0348,0.3133,1,3,8,0.4174,0
9,32,5,18,74.94,0.5214,0.5844,0.213,0.5454,0.3325,0.2401,0.53,0.8931,0.8232,0.3919,0.3331,0.1855,0.5073,2,3,11,0.5168,2
7,30,13,3,80.52,0.3303,0.2069,0.1374,0.5435,0.119,0.1137,0.7105,0.1928,0.2861,0.6085,0.6645,0.5527,0.2216,2,4,14,0.4249,3
10,34,5,14,67.66,0.472,0.1546,0.0966,0.1423,0.5318,0.5695,0.6029,0.4218,0.7137,0.2483,0.2238,0.0687,0.3941,2,0,10,0.398,2
12,48,13,26,75.18,0.2612,0.5042,0.2778,0.1189,0.2,0.4759,0.7289,0.5129,0.1866,0.2586,0.4549,0.077,0.7615,3,3,9,0.5879,2
8,20,9,10,49.03,0.3295,0.4821,0.4869,0.1425,0.0362,0.1436,0.3984,0.6376,0.1798,0.2655,0.1238,0.2621,0.4137,2,3,3,0.238,2
6,26,9,14,69.21,0.5062,0.6129,0.2463,0.2881,0.4997,0.6803,0.4757,0.5285,0.3397,0.2559,0.169,0.2678,0.6377,2,4,9,0.2667,2
8,40,10,19,48.17,0.3659,0.5509,0.758,0.2993,0.22,0.5138,0.3331,0.5814,0.155,0.4145,0.1808,0.1636,0.7802,2,3,7,0.5466,0
9,32,9,22,67.24,0.252,0.2089,0.2041,0.2621,0.4945,0.4223,0.5757,0.4524,0.1624,0.4596,0.675,0.4137,0.4424,2,3,9,0.3338,3
8,35,10,17,68.69,0.3241,0.3159,0.2377,0.2256,0.0949,0.2022,0.2008,0.4522,0.3597,0.749,0.6663,0.484,0.533,2,1,12,0.6723,3
12,42,19,25,62.41,0.1756,0.1154,0.2431,0.1906,0.0898,0.1258,0.6851,0.7233,0.4993,0.1836,0.4077,0.0484,0.4096,3,4,8,0.5075,2
11,23,21,15,50.28,0.2255,0.1703,0.302,0.0712,0.1497,0.1094,0.4021,0.7897,0.4724,0.2988,0.1174,0.2769,0.2086,3,3,6,0.3598,2
10,52,15,24,26.74,0.3636,0.1211,0.3885,0.3673,0.4367,0.709,0.3192,0.106,0.3982,0.1052,0.2333,0.1069,0.3445,3,1,6,0.1674,1
5,40,14,22,67.72,0.4167,0.4346,0.1484,0.3403,0.3786,0.3334,0.3953,0.504,0.322,0.6172,0.6315,0.4841,0.3217,3,2,10,0.5536,3
9,40,14,17,67.28,0.2897,0.5196,0.1955,0.3708,0.3217,0.6265,0.6529,0.4179,0.1365,0.5935,0.3491,0.3009,0.519,3,4,6,0.4253,1
5,16,4,6,65.05,0.4149,0.5513,0.3713,0.1223,0.1809,0.3276,0.3847,0.316,0.3612,0.4883,0.0883,0.191,0.2101,1,1,9,0.458,2
8,38,13,22,33.58,0.4567,0.7748,0.4423,0.2323,0.21,0.3871,0.2119,0.2986,0.1637,0.522,0.5079,0.1391,0.6414,3,6,4,0.4669,0
11,50,15,24,68.39,0.433,0.1328,0.0299,0.3847,0.3463,0.0896,0.7948,0.6803,0.4653,0.0954,0.0663,0.1185,0.0178,3,2,6,0.0963,2
6,38,6,15,55.03,0.5929,0.6496,0.7875,0.0549,0.3989,0.041,0.1516,0.1636,0.2281,0.667,0.2388,0.585,0.2346,2,2,11,0.5479,3
8,35,8,29,68.71,0.3374,0.1676,0.1015,0.2737,0.129,0.1821,0.1518,0.1415,0.3471,0.8535,0.7548,0.5791,0.5821,2,2,9,0.5808,3
9,30,16,17,75.15,0.1661,0.0484,0.0506,0.2914,0.1253,0.2203,0.6725,0.6851,0.4203,0.4038,0.1624,0.6133,0.1605,3,4,11,0.1991,2
7,32,13,17,84.62,0.4416,0.2127,0.1884,0.4085,0.2262,0.1277,0.5509,0.6423,0.4545,0.4983,0.1311,0.1565,0.5269,2,5,8,0.3622,2
5,31,7,14,60.72,0.243,0.1684,0.5657,0.4284,0.1224,0.2974,0.4013,0.333,0.5357,0.5948,0.2953,0.5822,0.423,2,3,10,0.6269,3
12,49,17,21,38.94,0.5162,0.2702,0.1226,0.7902,0.3403,0.8575,0.157,0.4531,0.1127,0.576,0.1017,0.2965,0.1943,4,2,3,0.5078,1
7,37,9,16,72.55,0.1125,0.1051,0.2077,0.1705,0.1265,0.2417,0.4805,0.1986,0.254,0.5338,0.3181,0.7284,0.3533,2,4,9,0.4877,3
11,37,17,18,48.0,0.1656,0.3146,0.7988,0.1819,0.3053,0.5559,0.2505,0.2157,0.0178,0.2031,0.2872,0.1267,0.2933,3,2,7,0.307,0
6,43,12,21,68.4,0.468,0.0976,0.2851,0.342,0.4749,0.4808,0.2105,0.5835,0.2013,0.5002,0.5725,0.3398,0.059,3,1,10,0.2736,3
8,33,12,11,66.91,0.3831,0.5403,0.4253,0.1768,0.2764,0.3524,0.5699,0.6138,0.4997,0.3819,0.0733,0.0377,0.2763,2,1,12,0.3278,2
7,32,5,12,45.0,0.2763,0.4559,0.6377,0.2541,0.2047,0.1424,0.2986,0.2941,0.1798,0.2658,0.3954,0.0149,0.3599,2,4,10,0.2997,0
5,19,7,7,38.94,0.3508,0.6018,0.4327,0.2173,0.4158,0.2504,0.2655,0.2444,0.3745,0.3152,0.121,0.2874,0.366,1,1,6,0.4954,0
9,43,11,28,67.3,0.3423,0.1783,0.4953,0.1733,0.3345,0.6046,0.5838,0.3684,0.6493,0.1062,0.212,0.0206,0.5651,2,4,8,0.5096,2
8,48,21,27,58.03,0.4853,0.2991,0.0692,0.7608,0.4731,0.2807,0.5458,0.3949,0.2283,0.1598,0.4095,0.1263,0.5042,3,1,5,0.3283,1
12,49,25,30,53.88,0.6877,0.4561,0.2367,0.7672,0.6536,0.4275,0.431,0.2892,0.3436,0.2844,0.3207,0.4542,0.5045,4,4,8,0.4586,1
7,26,11,18,56.04,0.2353,0.4032,0.2974,0.4385,0.0875,0.254,0.2791,0.6821,0.0397,0.1557,0.1614,0.1452,0.5396,2,4,6,0.2061,0
11,45,9,18,28.75,0.4665,0.3198,0.4168,0.4054,0.6804,0.5351,0.1556,0.2619,0.2406,0.4761,0.3264,0.6843,0.2323,4,3,6,0.4162,3
9,35,11,27,61.91,0.2901,0.0428,0.0259,0.2545,0.1826,0.3456,0.1036,0.2797,0.2412,0.7976,0.6384,0.4972,0.5996,2,1,12,0.3816,3
10,35,21,16,37.58,0.6837,0.1979,0.2459,0.6688,0.4339,0.7964,0.2676,0.2241,0.3184,0.2726,0.109,0.3934,0.505,3,3,5,0.7193,1
